time,class_0,class_1,total,scenario
2661.030301607009,42,78,120,unstable_like
2661.033888616454,43,77,120,unstable_like
2661.0396962998125,42,78,120,unstable_like
2661.0415824389765,41,79,120,unstable_like
2661.0455054748872,40,80,120,unstable_like
2661.047211367001,41,79,120,unstable_like
2661.0513724284615,40,80,120,unstable_like
2661.063093286963,41,80,121,unstable_like
2661.072052320956,40,81,121,unstable_like
2661.072144711445,41,80,121,unstable_like
2661.0777950875504,42,79,121,unstable_like
2661.084514532965,41,80,121,unstable_like
2661.1140262439844,40,81,121,unstable_like
2661.11674068843,39,82,121,unstable_like
2661.118416885412,38,83,121,unstable_like
2661.1191068478606,39,82,121,unstable_like
2661.123608234981,38,83,121,unstable_like
2661.148223738507,39,82,121,unstable_like
2661.159786161885,40,81,121,unstable_like
2661.1614456418565,39,82,121,unstable_like
2661.1724340845576,38,83,121,unstable_like
2661.177581437793,37,84,121,unstable_like
2661.189299659579,38,83,121,unstable_like
2661.1925716469786,39,82,121,unstable_like
2661.208499230166,38,83,121,unstable_like
2661.2098553755404,39,82,121,unstable_like
2661.2216231435186,38,83,121,unstable_like
2661.2265782309596,37,84,121,unstable_like
2661.2302502896664,36,85,121,unstable_like
2661.2307779839034,37,84,121,unstable_like
2661.2323412028522,38,83,121,unstable_like
2661.24028751794,39,82,121,unstable_like
2661.2503568781976,38,83,121,unstable_like
2661.2516450171706,39,82,121,unstable_like
2661.255867480013,40,81,121,unstable_like
2661.2626098198098,41,80,121,unstable_like
2661.2626892693906,40,81,121,unstable_like
2661.265088062521,41,80,121,unstable_like
2661.2654175132716,40,81,121,unstable_like
2661.2749427971166,39,82,121,unstable_like
2661.27537665397,40,81,121,unstable_like
2661.2771763209894,41,80,121,unstable_like
2661.28017132316,42,79,121,unstable_like
2661.2811913389983,41,80,121,unstable_like
2661.3059229368882,42,79,121,unstable_like
2661.3078280989953,43,78,121,unstable_like
2661.3094746091124,42,79,121,unstable_like
2661.3124616954256,43,78,121,unstable_like
2661.3136158512507,44,77,121,unstable_like
2661.3253431364515,43,78,121,unstable_like
2661.3312892976983,42,79,121,unstable_like
2661.3456462801096,41,80,121,unstable_like
2661.346212864808,40,81,121,unstable_like
2661.348188923697,41,80,121,unstable_like
2661.351504510245,42,79,121,unstable_like
2661.376571727246,41,80,121,unstable_like
2661.3851465046605,42,79,121,unstable_like
2661.3920362494405,43,78,121,unstable_like
2661.404189591043,44,77,121,unstable_like
2661.4097553778142,43,78,121,unstable_like
2661.413497992778,42,79,121,unstable_like
2661.419983905968,41,80,121,unstable_like
2661.423992865664,40,81,121,unstable_like
2661.427662260668,39,82,121,unstable_like
2661.4367827586707,40,81,121,unstable_like
2661.438365006078,39,82,121,unstable_like
2661.4440591279144,38,83,121,unstable_like
2661.444646849058,39,82,121,unstable_like
2661.4455877527043,40,81,121,unstable_like
2661.45190284962,41,80,121,unstable_like
2661.4529815250353,42,79,121,unstable_like
2661.45677409763,41,80,121,unstable_like
2661.458846028248,42,79,121,unstable_like
2661.460071603672,43,78,121,unstable_like
2661.475760617172,42,79,121,unstable_like
2661.4815116774357,43,78,121,unstable_like
2661.491392868795,44,77,121,unstable_like
2661.4996504985525,43,78,121,unstable_like
2661.499884211841,42,79,121,unstable_like
2661.5061815710255,43,78,121,unstable_like
2661.506904533136,44,77,121,unstable_like
2661.508355128278,45,76,121,unstable_like
2661.5129624794495,44,77,121,unstable_like
2661.517508852286,43,78,121,unstable_like
2661.5194521492126,44,77,121,unstable_like
2661.5214590560136,43,78,121,unstable_like
2661.532605852346,42,79,121,unstable_like
2661.5349772779327,43,78,121,unstable_like
2661.5527650611784,42,79,121,unstable_like
2661.5547149405006,41,80,121,unstable_like
2661.55935634281,40,81,121,unstable_like
2661.5627564064343,41,80,121,unstable_like
2661.5803110642405,40,81,121,unstable_like
2661.597519161802,39,82,121,unstable_like
2661.6032361983416,40,81,121,unstable_like
2661.6246155349604,39,82,121,unstable_like
2661.6328496517694,38,83,121,unstable_like
2661.643331767027,39,82,121,unstable_like
2661.6563904391696,38,83,121,unstable_like
2661.6566122596196,37,84,121,unstable_like
2661.666071948821,38,83,121,unstable_like
2661.667470500012,39,82,121,unstable_like
2661.6701805890384,40,81,121,unstable_like
2661.672772167085,39,82,121,unstable_like
2661.675923966929,38,83,121,unstable_like
2661.689743513338,39,82,121,unstable_like
2661.7036810090262,38,83,121,unstable_like
2661.7036914926325,37,84,121,unstable_like
2661.7109411386455,38,83,121,unstable_like
2661.713674888351,39,82,121,unstable_like
2661.7292852246583,40,81,121,unstable_like
2661.733345967749,41,80,121,unstable_like
2661.7376451069053,40,81,121,unstable_like
2661.746559192147,41,80,121,unstable_like
2661.749314060527,40,81,121,unstable_like
2661.7554023326948,39,82,121,unstable_like
2661.758847801739,40,81,121,unstable_like
2661.7610939474553,41,80,121,unstable_like
2661.766711193669,40,81,121,unstable_like
2661.7720312437186,41,80,121,unstable_like
2661.773781224691,42,79,121,unstable_like
2661.779912008943,41,80,121,unstable_like
2661.7803216595435,42,79,121,unstable_like
2661.7881203085235,41,80,121,unstable_like
2661.791185773049,42,79,121,unstable_like
2661.7923339253753,41,80,121,unstable_like
2661.7939588569384,40,81,121,unstable_like
2661.8007507908746,41,80,121,unstable_like
2661.803956210838,42,79,121,unstable_like
2661.8088139902284,43,78,121,unstable_like
2661.8171264069283,42,79,121,unstable_like
2661.8217449432955,41,80,121,unstable_like
2661.8265157375713,40,81,121,unstable_like
2661.837475312404,39,82,121,unstable_like
2661.851544998667,38,83,121,unstable_like
2661.870147964915,37,84,121,unstable_like
2661.8724910535634,36,85,121,unstable_like
2661.8737100242492,37,84,121,unstable_like
2661.8794800721794,36,85,121,unstable_like
2661.8796550596194,37,84,121,unstable_like
2661.8847274146588,38,83,121,unstable_like
2661.8858335467394,39,82,121,unstable_like
2661.8902501488,38,83,121,unstable_like
2661.900205296468,39,82,121,unstable_like
2661.90387041571,40,81,121,unstable_like
2661.915774725957,39,82,121,unstable_like
2661.9196487087934,38,83,121,unstable_like
2661.932142691132,37,84,121,unstable_like
2661.93588061396,36,85,121,unstable_like
2661.9383770965555,35,86,121,unstable_like
2661.940651716535,34,87,121,unstable_like
2661.9454270443903,35,86,121,unstable_like
