bound,W_1,W_2,W,Var_W,L_1,L_2,L,h12,h21,CV_W
12,1.584236668843072,1.8354287108466514,1.6679673495109317,5.942040401374149,0.8132715569307133,0.842762660813728,1.6560342177444412,1.7999999999999998,0.8999999999999999,1.4614375272855475
12,1.641882217984134,1.866337768196982,1.71670073472175,5.991385323665737,0.9131046312109224,0.7961036906778215,1.7092083218887433,1.7999999999999998,1.2,1.425834216871708
12,1.6814176527445135,1.8836340000395613,1.7488231018428628,5.957760597500579,0.9966855092152246,0.7479263255617262,1.7446118347769513,1.7999999999999998,1.5,1.3957114530229129
12,1.7098325471044533,1.8937213926665746,1.7711288289584934,5.901262853716074,1.0669928901115004,0.7021390245355539,1.7691319146470539,1.7999999999999998,1.7999999999999998,1.3715837385705332
12,1.7310104723588766,1.8997032931723212,1.7872414126300247,5.840343818389696,1.1266483205667663,0.6600554536179374,1.786703774184704,1.7999999999999998,2.1,1.3521846087074727
12,1.747243032183334,1.9032045426594837,1.7992302023420506,5.780414163654125,1.1777574066939283,0.6219175285985276,1.7996749352924568,1.7999999999999998,2.4,1.3362654684467492
12,1.7599671064646303,1.9051426678899632,1.8083589602730745,5.723152035017094,1.2219625183210079,0.5875354069499258,1.8094979252709327,1.7999999999999998,2.6999999999999997,1.3229182238945318
12,1.7701296965644242,1.906069272990228,1.8154428887063587,5.669150753514186,1.2605367505184746,0.5565647781797715,1.8171015286982466,1.7999999999999998,3.0,1.3115245117827328
12,1.1416961657623215,1.417678242389302,1.2336901913046483,2.2144375014038085,0.4181251579204383,0.8128412661572224,1.2309664240776608,2.1,0.0,1.2062174361147893
12,1.3369871346169533,1.6271969067440462,1.4337237253259842,4.350751696285952,0.5367759382849661,0.8812649154838388,1.4180408537688038,2.1,0.3,1.4548448367165605
12,1.4784932853888064,1.7489264715960362,1.5686376807912161,5.526324493150471,0.6598623881722129,0.8905944186253337,1.5504568067975468,2.1,0.6,1.4986338846127623
12,1.5690240084543523,1.8128278786108905,1.6502919651731984,5.93115927702697,0.7706131674979365,0.8651562450229978,1.6357694125209337,2.1,0.8999999999999999,1.4757371429714268
12,1.6288472307409396,1.848271975556477,1.7019888123461184,6.03609130742759,0.8659595402679994,0.8258402531202588,1.691799793388259,2.1,1.2,1.4435146616399903
12,1.6703458120736128,1.8691122560381088,1.7366012933951112,6.031495400113416,0.9472606478822405,0.7827675323524087,1.7300281802346493,2.1,1.5,1.4142050389048018
